Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
Costa Rica,SI3_AGG - MACHPH - Pharmaceuticals,World,300,317,325,381,318,328
Costa Rica,SI3_AGG - MAMT - Machinery and transport equipment,World,705,832,807,785,1028,1161
Costa Rica,SI3_AGG - MAMTOF - Office and telecom equipment,World,95,146,115,98,154,164
Costa Rica,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,18,59,53,42,67,63
Costa Rica,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,15,11,14,14,21,100
Costa Rica,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,62,77,48,42,65,1
Costa Rica,SI3_AGG - MAMTTE - Transport equipment,World,14,18,24,35,27,29
Costa Rica,SI3_AGG - MAMTAU - Automotive products,World,7,12,11,7,8,8
Costa Rica,SI3_AGG - MATE - Textiles,World,78,91,95,82,98,115
Costa Rica,SI3_AGG - MACL - Clothing,World,45,40,40,35,28,34
Côte d'Ivoire,SI3_AGG - TO - Total merchandise,World,11853,11912,12718,12454,15333,16436
Côte d'Ivoire,SI3_AGG - AG - Agricultural products,World,8014,7803,8062,8430,10276,9646
Côte d'Ivoire,SI3_AGG - AGFO - Food,World,6888,6681,6727,7040,8193,7333
Côte d'Ivoire,SI3_AGG - MI - Fuels and mining products,World,1637,2016,2315,1458,1875,3224
Côte d'Ivoire,SI3_AGG - MIFU - Fuels,World,1571,1883,2136,1280,1719,3042
Côte d'Ivoire,SI3_AGG - MA - Manufactures,World,1912,1192,1224,1098,1472,1642
Côte d'Ivoire,SI3_AGG - MAIS - Iron and steel,World,40,33,21,26,19,13
Côte d'Ivoire,SI3_AGG - MACH - Chemicals,World,489,498,458,500,556,617
Côte d'Ivoire,SI3_AGG - MACHPH - Pharmaceuticals,World,4,4,3,4,4,7
Côte d'Ivoire,SI3_AGG - MAMT - Machinery and transport equipment,World,878,196,342,140,430,489
Côte d'Ivoire,SI3_AGG - MAMTOF - Office and telecom equipment,World,11,8,8,5,7,10
Côte d'Ivoire,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,3,2,2,4,3
Côte d'Ivoire,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,7,2,4,1,3,5
Côte d'Ivoire,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,3,2,2,1,1
Côte d'Ivoire,SI3_AGG - MAMTTE - Transport equipment,World,747,105,264,56,345,404
Côte d'Ivoire,SI3_AGG - MAMTAU - Automotive products,World,58,22,24,27,12,18
Côte d'Ivoire,SI3_AGG - MATE - Textiles,World,72,74,71,65,73,80
Côte d'Ivoire,SI3_AGG - MACL - Clothing,World,2,3,3,3,4,2
Croatia,SI3_AGG - TO - Total merchandise,World,16069,17402,17180,17193,21878,25306
Croatia,SI3_AGG - AG - Agricultural products,World,3011,3369,3275,3511,4323,4863
Croatia,SI3_AGG - AGFO - Food,World,2242,2532,2488,2770,3341,3723
Croatia,SI3_AGG - MI - Fuels and mining products,World,2307,2526,2361,2286,3678,6161
Croatia,SI3_AGG - MIFU - Fuels,World,1704,1858,1671,1541,2600,5027
Croatia,SI3_AGG - MA - Manufactures,World,10563,11331,11431,11154,13635,14235
Croatia,SI3_AGG - MAIS - Iron and steel,World,97,226,189,144,304,359
Croatia,SI3_AGG - MACH - Chemicals,World,2236,2180,2306,2342,2727,2704
Croatia,SI3_AGG - MACHPH - Pharmaceuticals,World,1292,1094,1163,1202,1192,1094
Croatia,SI3_AGG - MAMT - Machinery and transport equipment,World,3743,4094,4356,4102,4949,5082
Croatia,SI3_AGG - MAMTOF - Office and telecom equipment,World,369,394,385,410,446,437
Croatia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,83,92,85,99,112,113
Croatia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,164,225,236,250,271,248
Croatia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,122,77,64,62,63,75
Croatia,SI3_AGG - MAMTTE - Transport equipment,World,1073,1265,1553,1240,1438,1345
Croatia,SI3_AGG - MAMTAU - Automotive products,World,598,759,918,736,715,663
Croatia,SI3_AGG - MATE - Textiles,World,207,226,212,209,240,257
Croatia,SI3_AGG - MACL - Clothing,World,785,836,816,738,873,977
Cuba,SI3_AGG - TO - Total merchandise,World,2402,2373,2062,1703,1966,1763
Curaçao,SI3_AGG - TO - Total merchandise,World,425,586,398,271,344,553
Cyprus,SI3_AGG - TO - Total merchandise,World,3288,5052,3453,3063,3888,4342
Cyprus,SI3_AGG - AG - Agricultural products,World,438,505,509,535,561,554
Cyprus,SI3_AGG - AGFO - Food,World,421,488,496,521,543,534
Cyprus,SI3_AGG - MI - Fuels and mining products,World,791,1279,795,566,863,1173
Cyprus,SI3_AGG - MIFU - Fuels,World,720,1197,728,495,745,1055
Cyprus,SI3_AGG - MA - Manufactures,World,1958,3140,2036,1880,2425,2521
Cyprus,SI3_AGG - MAIS - Iron and steel,World,35,166,47,14,2,2
Cyprus,SI3_AGG - MACH - Chemicals,World,408,489,463,525,668,613
Cyprus,SI3_AGG - MACHPH - Pharmaceuticals,World,314,374,372,435,422,397
Cyprus,SI3_AGG - MAMT - Machinery and transport equipment,World,1343,2328,1398,1221,1608,1763
Cyprus,SI3_AGG - MAMTOF - Office and telecom equipment,World,162,216,72,57,83,72
Cyprus,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,22,17,9,14,22,17
Cyprus,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,139,198,62,42,61,53
Cyprus,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,0,0,1,1,2
Cyprus,SI3_AGG - MAMTTE - Transport equipment,World,1070,1962,1184,1041,1359,1490
Cyprus,SI3_AGG - MAMTAU - Automotive products,World,16,14,19,17,19,14
Cyprus,SI3_AGG - MATE - Textiles,World,1,1,1,1,1,1
Cyprus,SI3_AGG - MACL - Clothing,World,13,12,14,13,19,18
Czech Republic,SI3_AGG - TO - Total merchandise,World,182142,202238,199128,191911,226564,241931
Czech Republic,SI3_AGG - AG - Agricultural products,World,10505,10973,11016,11503,13780,14992
Czech Republic,SI3_AGG - AGFO - Food,World,8163,8330,8374,9000,10125,11422
Czech Republic,SI3_AGG - MI - Fuels and mining products,World,5983,6933,6091,4749,8903,12415
Czech Republic,SI3_AGG - MIFU - Fuels,World,3337,4159,3674,2407,5239,8636
Czech Republic,SI3_AGG - MA - Manufactures,World,164490,183207,180792,173757,201925,212931
Czech Republic,SI3_AGG - MAIS - Iron and steel,World,4348,5405,4614,4113,6154,6476
Czech Republic,SI3_AGG - MACH - Chemicals,World,11121,12569,13029,13246,16860,17488
Czech Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,2588,2997,3193,3387,3992,3921
Czech Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,103853,117397,117066,111926,126053,134700
Czech Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,23483,30167,31637,33663,34340,37982
Czech Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,12247,15409,15528,16684,17469,17236
Czech Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,10057,13448,14665,15274,15021,18940
Czech Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1179,1310,1444,1705,1851,1806
Czech Republic,SI3_AGG - MAMTTE - Transport equipment,World,43976,46905,46117,41085,46187,47749
Czech Republic,SI3_AGG - MAMTAU - Automotive products,World,40467,43267,42407,37776,42260,43671
Czech Republic,SI3_AGG - MATE - Textiles,World,2821,3020,2852,2816,3114,3123
Czech Republic,SI3_AGG - MACL - Clothing,World,2410,2571,2469,2430,3051,3057
Democratic Republic of the Congo,SI3_AGG - TO - Total merchandise,World,12296,20004,13382,14122,24125,28200
Democratic Republic of the Congo,SI3_AGG - AG - Agricultural products,World,134,154,170,204,230,240
Democratic Republic of the Congo,SI3_AGG - AGFO - Food,World,71,80,94,119,151,158
Democratic Republic of the Congo,SI3_AGG - MI - Fuels and mining products,World,7083,9119,9018,10484,17895,19557
Democratic Republic of the Congo,SI3_AGG - MIFU - Fuels,World,326,144,150,69,75,2
Democratic Republic of the Congo,SI3_AGG - MA - Manufactures,World,5074,10619,4110,3416,5994,8402
Democratic Republic of the Congo,SI3_AGG - MAIS - Iron and steel,World,0,0,1,1,0,1
Democratic Republic of the Congo,SI3_AGG - MACH - Chemicals,World,4919,10459,3941,3147,5716,8122
Democratic Republic of the Congo,SI3_AGG - MACHPH - Pharmaceuticals,World,2,1,2,2,1,4
Democratic Republic of the Congo,SI3_AGG - MAMT - Machinery and transport equipment,World,41,64,69,59,53,36
Democratic Republic of the Congo,SI3_AGG - MAMTOF - Office and telecom equipment,World,1,1,3,1,1,2
Democratic Republic of the Congo,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,1,0,1,0,0
Democratic Republic of the Congo,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,1,2,0,1,2
Democratic Republic of the Congo,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Democratic Republic of the Congo,SI3_AGG - MAMTTE - Transport equipment,World,15,34,48,25,33,17
Democratic Republic of the Congo,SI3_AGG - MAMTAU - Automotive products,World,9,14,29,17,16,11
Democratic Republic of the Congo,SI3_AGG - MATE - Textiles,World,2,1,3,4,1,3
Democratic Republic of the Congo,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0
Denmark,SI3_AGG - TO - Total merchandise,World,102506,109696,111076,108454,125945,130220
Denmark,SI3_AGG - AG - Agricultural products,World,23347,23437,23096,22927,24973,25147
Denmark,SI3_AGG - AGFO - Food,World,20274,20407,20231,20386,22009,22635
Denmark,SI3_AGG - MI - Fuels and mining products,World,6706,7693,7360,4556,9049,12838
Denmark,SI3_AGG - MIFU - Fuels,World,5130,5961,5805,3010,6584,10360
Denmark,SI3_AGG - MA - Manufactures,World,71844,77704,79619,80390,91192,91399
Denmark,SI3_AGG - MAIS - Iron and steel,World,1149,1366,1298,1161,1614,1969
Denmark,SI3_AGG - MACH - Chemicals,World,21004,23382,26347,29055,31166,31823
Denmark,SI3_AGG - MACHPH - Pharmaceuticals,World,14119,15930,19047,21132,21847,22145
Denmark,SI3_AGG - MAMT - Machinery and transport equipment,World,27198,29043,29629,27523,31591,30747
Denmark,SI3_AGG - MAMTOF - Office and telecom equipment,World,3976,4161,4180,4462,5341,5288
Denmark,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1824,1856,1808,2003,2445,2407
Denmark,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1817,1936,2000,2122,2480,2405
Denmark,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,336,368,372,336,416,475
Denmark,SI3_AGG - MAMTTE - Transport equipment,World,4236,5203,4589,4174,5403,5915
Denmark,SI3_AGG - MAMTAU - Automotive products,World,2489,2732,2781,2679,3282,3303
Denmark,SI3_AGG - MATE - Textiles,World,1118,1207,1185,1176,1320,1248
Denmark,SI3_AGG - MACL - Clothing,World,4157,4595,4353,4262,5129,5569
Djibouti,SI3_AGG - TO - Total merchandise,World,3162,3522,3996,2785,4147,4497
Dominica,SI3_AGG - TO - Total merchandise,World,12,10,19,16,20,22
Dominica,SI3_AGG - AG - Agricultural products,World,,4,6,4,5,5
Dominica,SI3_AGG - AGFO - Food,World,,4,6,4,4,5
Dominica,SI3_AGG - MI - Fuels and mining products,World,,1,0,0,1,1
Dominica,SI3_AGG - MIFU - Fuels,World,,0,0,0,0,0
Dominica,SI3_AGG - MA - Manufactures,World,,6,7,9,9,8
Dominica,SI3_AGG - MAIS - Iron and steel,World,,0,0,0,0,0
Dominica,SI3_AGG - MACH - Chemicals,World,,2,3,4,4,3
Dominica,SI3_AGG - MACHPH - Pharmaceuticals,World,,0,0,0,0,0
Dominica,SI3_AGG - MAMT - Machinery and transport equipment,World,,2,2,3,4,3
Dominica,SI3_AGG - MAMTOF - Office and telecom equipment,World,,0,1,0,0,0
Dominica,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,0,0,0,0,0
Dominica,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,0,1,0,0,0
Dominica,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,0,0,0,0,0
Dominica,SI3_AGG - MAMTTE - Transport equipment,World,,1,0,1,1,1
Dominica,SI3_AGG - MAMTAU - Automotive products,World,,1,0,0,1,0
Dominica,SI3_AGG - MATE - Textiles,World,,0,0,0,0,0
Dominica,SI3_AGG - MACL - Clothing,World,,0,0,0,0,0
Dominican Republic,SI3_AGG - TO - Total merchandise,World,10135,10638,11193,10302,12487,13777
Dominican Republic,SI3_AGG - AG - Agricultural products,World,2308,2477,2593,2247,2750,2947
Dominican Republic,SI3_AGG - AGFO - Food,World,2241,2422,2538,2196,2678,2868
Dominican Republic,SI3_AGG - MI - Fuels and mining products,World,624,750,692,182,383,405
Dominican Republic,SI3_AGG - MIFU - Fuels,World,481,547,491,32,89,156
Dominican Republic,SI3_AGG - MA - Manufactures,World,5742,6065,6330,5611,6697,7511
Dominican Republic,SI3_AGG - MAIS - Iron and steel,World,292,384,487,450,610,716
Dominican Republic,SI3_AGG - MACH - Chemicals,World,812,954,943,836,899,964
Dominican Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,453,516,516,470,462,485
Dominican Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,1081,1221,1409,1483,1581,1639
Dominican Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,203,165,181,231,273,185
Dominican Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,52,23,19,19,21,19
Dominican Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,142,133,138,185,220,153
Dominican Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,9,9,24,27,33,13
Dominican Republic,SI3_AGG - MAMTTE - Transport equipment,World,46,52,50,31,40,35
Dominican Republic,SI3_AGG - MAMTAU - Automotive products,World,31,33,32,19,24,29
Dominican Republic,SI3_AGG - MATE - Textiles,World,317,298,282,237,298,304
Dominican Republic,SI3_AGG - MACL - Clothing,World,964,867,844,407,546,675
ECCAS (Economic Community of Central African States),SI3_AGG - TO - Total merchandise,World,72745,92604,74767,57134,89130,118711
Ecuador,SI3_AGG - TO - Total merchandise,World,19122,21628,22329,20355,26699,32658
Ecuador,SI3_AGG - AG - Agricultural products,World,10562,11053,11835,12573,14098,16264
Ecuador,SI3_AGG - AGFO - Food,World,9550,10042,10730,11240,12905,15080
Ecuador,SI3_AGG - MI - Fuels and mining products,World,7182,9121,9058,6143,10386,13820
Ecuador,SI3_AGG - MIFU - Fuels,World,6922,8831,8746,5304,8620,11585
Ecuador,SI3_AGG - MA - Manufactures,World,1172,1298,1231,1237,1601,1695
Ecuador,SI3_AGG - MAIS - Iron and steel,World,38,52,58,44,72,53
Ecuador,SI3_AGG - MACH - Chemicals,World,197,209,192,186,270,316
Ecuador,SI3_AGG - MACHPH - Pharmaceuticals,World,39,37,27,29,32,38
Ecuador,SI3_AGG - MAMT - Machinery and transport equipment,World,275,297,232,213,196,270
Ecuador,SI3_AGG - MAMTOF - Office and telecom equipment,World,62,19,11,11,13,18
Ecuador,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,14,12,7,7,7,4
Ecuador,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,46,6,4,4,4,13
Ecuador,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,2,1,1,1,1,1
Ecuador,SI3_AGG - MAMTTE - Transport equipment,World,86,119,91,81,40,70
Ecuador,SI3_AGG - MAMTAU - Automotive products,World,24,35,38,30,9,8
Ecuador,SI3_AGG - MATE - Textiles,World,66,68,59,59,85,75
Ecuador,SI3_AGG - MACL - Clothing,World,24,30,35,25,33,35
Egypt,SI3_AGG - TO - Total merchandise,World,25604,27624,29000,27078,40798,48845
Egypt,SI3_AGG - AG - Agricultural products,World,5124,5150,5631,5311,6415,7035
Egypt,SI3_AGG - AGFO - Food,World,4654,4656,5109,4846,5829,6552
Egypt,SI3_AGG - MI - Fuels and mining products,World,6136,8404,9227,5748,14637,19354
Egypt,SI3_AGG - MIFU - Fuels,World,5116,7243,8171,4724,13164,17973
Egypt,SI3_AGG - MA - Manufactures,World,13064,14066,13920,12831,18546,20140
Egypt,SI3_AGG - MAIS - Iron and steel,World,875,1060,697,699,1726,1263
Egypt,SI3_AGG - MACH - Chemicals,World,4527,5488,5323,4683,6282,7935
Egypt,SI3_AGG - MACHPH - Pharmaceuticals,World,280,247,272,268,314,320
Egypt,SI3_AGG - MAMT - Machinery and transport equipment,World,2045,1807,1928,1872,2940,2885
Egypt,SI3_AGG - MAMTOF - Office and telecom equipment,World,775,709,880,792,1173,1106
Egypt,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,0,1,10,15,16
Egypt,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,764,699,861,762,1138,1079
Egypt,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,10,9,18,20,20,11
Egypt,SI3_AGG - MAMTTE - Transport equipment,World,110,109,78,117,181,81
Egypt,SI3_AGG - MAMTAU - Automotive products,World,106,105,72,84,51,63
Egypt,SI3_AGG - MATE - Textiles,World,1279,1379,1300,1249,1606,1531
Egypt,SI3_AGG - MACL - Clothing,World,1463,1616,1710,1357,1968,2443
El Salvador,SI3_AGG - TO - Total merchandise,World,5760,5905,5905,4805,6395,7115
El Salvador,SI3_AGG - AG - Agricultural products,World,1125,1083,1158,1019,1210,1412
El Salvador,SI3_AGG - AGFO - Food,World,1079,1040,1111,981,1158,1358
El Salvador,SI3_AGG - MI - Fuels and mining products,World,249,284,262,198,317,421
El Salvador,SI3_AGG - MIFU - Fuels,World,183,209,199,154,249,341
El Salvador,SI3_AGG - MA - Manufactures,World,4379,4534,4480,3580,4859,5280
El Salvador,SI3_AGG - MAIS - Iron and steel,World,151,172,149,119,190,197
El Salvador,SI3_AGG - MACH - Chemicals,World,394,387,444,438,566,680
El Salvador,SI3_AGG - MACHPH - Pharmaceuticals,World,140,143,170,163,191,170
El Salvador,SI3_AGG - MAMT - Machinery and transport equipment,World,371,424,344,301,424,481
El Salvador,SI3_AGG - MAMTOF - Office and telecom equipment,World,15,17,20,14,23,29
El Salvador,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,5,4,5,3,6,7
El Salvador,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3,3,5,2,4,8
El Salvador,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,8,10,10,10,14,15
El Salvador,SI3_AGG - MAMTTE - Transport equipment,World,14,16,15,24,21,20
El Salvador,SI3_AGG - MAMTAU - Automotive products,World,11,12,11,14,17,15
El Salvador,SI3_AGG - MATE - Textiles,World,424,446,470,388,491,517
El Salvador,SI3_AGG - MACL - Clothing,World,2188,2243,2137,1521,2143,2222
Equatorial Guinea,SI3_AGG - TO - Total merchandise,World,5200,6500,5400,3200,5700,7500
Eritrea,SI3_AGG - TO - Total merchandise,World,583,669,530,447,482,578
Estonia,SI3_AGG - TO - Total merchandise,World,14559,17017,16101,16340,21541,22405
Estonia,SI3_AGG - AG - Agricultural products,World,2349,2555,2606,2600,3201,3625
Estonia,SI3_AGG - AGFO - Food,World,1331,1350,1518,1571,1725,2095
Estonia,SI3_AGG - MI - Fuels and mining products,World,1752,2945,2243,2100,4172,4610
Estonia,SI3_AGG - MIFU - Fuels,World,1398,2524,1888,1782,3620,4172
Estonia,SI3_AGG - MA - Manufactures,World,9946,11078,10767,11007,13549,13507
Estonia,SI3_AGG - MAIS - Iron and steel,World,188,217,227,210,316,348
Estonia,SI3_AGG - MACH - Chemicals,World,970,1081,1038,1114,1357,1427
Estonia,SI3_AGG - MACHPH - Pharmaceuticals,World,94,109,111,109,123,132
Estonia,SI3_AGG - MAMT - Machinery and transport equipment,World,4726,5177,4990,5162,6333,6098
Estonia,SI3_AGG - MAMTOF - Office and telecom equipment,World,1372,1490,1255,1588,2135,1680
Estonia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,85,89,96,103,170,194
Estonia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1228,1331,1094,1410,1910,1408
Estonia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,59,70,66,74,55,78
Estonia,SI3_AGG - MAMTTE - Transport equipment,World,962,1020,1120,1004,1358,1370
Estonia,SI3_AGG - MAMTAU - Automotive products,World,633,780,853,760,1023,1042
Estonia,SI3_AGG - MATE - Textiles,World,179,188,188,209,236,218
Estonia,SI3_AGG - MACL - Clothing,World,238,253,237,207,231,243
Eswatini,SI3_AGG - TO - Total merchandise,World,1801,1842,2002,1752,2068,2034
Eswatini,SI3_AGG - AG - Agricultural products,World,541,581,681,633,744,612
Eswatini,SI3_AGG - AGFO - Food,World,440,479,574,540,608,479
Eswatini,SI3_AGG - MI - Fuels and mining products,World,25,23,21,23,30,52
Eswatini,SI3_AGG - MIFU - Fuels,World,21,18,17,20,24,51
Eswatini,SI3_AGG - MA - Manufactures,World,1235,1237,1299,1095,1285,1287
Eswatini,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0
Eswatini,SI3_AGG - MACH - Chemicals,World,940,909,974,826,956,963
Eswatini,SI3_AGG - MACHPH - Pharmaceuticals,World,1,1,1,1,1,3
Eswatini,SI3_AGG - MAMT - Machinery and transport equipment,World,28,47,42,36,33,26
Eswatini,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,12,2,1,1,1
Eswatini,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,3,1,0,1,0
Eswatini,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,8,1,1,0,0
Eswatini,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Eswatini,SI3_AGG - MAMTTE - Transport equipment,World,6,8,12,9,5,2
Eswatini,SI3_AGG - MAMTAU - Automotive products,World,4,7,7,7,3,1
Eswatini,SI3_AGG - MATE - Textiles,World,34,37,37,31,38,41
Eswatini,SI3_AGG - MACL - Clothing,World,188,194,203,168,223,215
Ethiopia,SI3_AGG - TO - Total merchandise,World,3022,2704,2741,3258,3949,3970
Ethiopia,SI3_AGG - AG - Agricultural products,World,2451,2117,2329,2676,3053,3280
Ethiopia,SI3_AGG - AGFO - Food,World,2199,1870,1956,2209,2516,2609
Ethiopia,SI3_AGG - MI - Fuels and mining products,World,11,14,10,9,11,20
Ethiopia,SI3_AGG - MIFU - Fuels,World,0,0,0,0,0,0
Ethiopia,SI3_AGG - MA - Manufactures,World,314,327,329,253,262,273
Ethiopia,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0
Ethiopia,SI3_AGG - MACH - Chemicals,World,6,6,8,8,13,22
Ethiopia,SI3_AGG - MACHPH - Pharmaceuticals,World,2,1,1,1,2,2
Ethiopia,SI3_AGG - MAMT - Machinery and transport equipment,World,56,42,21,31,22,5
Ethiopia,SI3_AGG - MAMTOF - Office and telecom equipment,World,55,41,19,30,20,4
Ethiopia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,1,0
Ethiopia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,55,41,18,29,19,4
Ethiopia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Ethiopia,SI3_AGG - MAMTTE - Transport equipment,World,0,0,1,0,0,0
Ethiopia,SI3_AGG - MAMTAU - Automotive products,World,0,0,0,0,0,0
Ethiopia,SI3_AGG - MATE - Textiles,World,23,19,21,13,22,27
Ethiopia,SI3_AGG - MACL - Clothing,World,74,106,164,143,149,148
Euro Area (20),SI3_AGG - TO - Total merchandise,World,4578783,5013497,4854008,4522060,5494127,5924054
Europe,SI3_AGG - TO - Total merchandise,World,6557685,7183680,6980083,6541982,8009389,8700659
European Free Trade Association (EFTA),SI3_AGG - TO - Total merchandise,World,405535,438096,421955,408359,546286,658926
European Union,SI3_AGG - TO - Total merchandise,World,5466719,5992950,5825391,5475081,6647186,7152741
European Union,SI3_AGG - TO - Total merchandise,European Union,3213323,3561033,3439009,3264782,4069422,4448963
European Union,SI3_AGG - TO - Total merchandise,Extra EU Trade,2253396,2431917,2386382,2210299,2577764,2703778
European Union,SI3_AGG - AG - Agricultural products,World,613072,647683,639679,652628,759811,799195
European Union,SI3_AGG - AG - Agricultural products,European Union,402595,426864,415514,421120,497860,531848
European Union,SI3_AGG - AG - Agricultural products,Extra EU Trade,209121,220820,224166,231508,261951,267347
European Union,SI3_AGG - AGFO - Food,World,531643,558134,555104,571843,651402,692928
European Union,SI3_AGG - AGFO - Food,European Union,352947,371363,364602,372937,432869,465945
European Union,SI3_AGG - AGFO - Food,Extra EU Trade,177295,186772,190502,198906,218533,226983
European Union,SI3_AGG - MI - Fuels and mining products,World,430396,510980,465952,359277,587717,860473
European Union,SI3_AGG - MI - Fuels and mining products,European Union,272142,324636,298550,232123,391168,601793
European Union,SI3_AGG - MI - Fuels and mining products,Extra EU Trade,157902,186344,167402,127154,196549,258680
European Union,SI3_AGG - MIFU - Fuels,World,276078,336805,304449,200550,354114,621664
European Union,SI3_AGG - MIFU - Fuels,European Union,164174,203320,188622,127375,231316,433465
European Union,SI3_AGG - MIFU - Fuels,Extra EU Trade,111900,133486,115827,73176,122798,188199
European Union,SI3_AGG - MA - Manufactures,World,4342663,4758524,4638835,4372927,5209255,5395470
European Union,SI3_AGG - MA - Manufactures,European Union,2502433,2777890,2691808,2573161,3136672,3258927
European Union,SI3_AGG - MA - Manufactures,Extra EU Trade,1835845,1980634,1947027,1799766,2072583,2136543
European Union,SI3_AGG - MAIS - Iron and steel,World,151585,170839,151065,125599,190367,212391
European Union,SI3_AGG - MAIS - Iron and steel,European Union,110989,126097,109707,93237,148896,165951
European Union,SI3_AGG - MAIS - Iron and steel,Extra EU Trade,40596,44743,41358,32363,41471,46440
European Union,SI3_AGG - MACH - Chemicals,World,903122,1019218,1010494,1040902,1266591,1373729
European Union,SI3_AGG - MACH - Chemicals,European Union,500842,575008,552746,569582,724159,791518
European Union,SI3_AGG - MACH - Chemicals,Extra EU Trade,400164,444210,457748,471320,542432,582211
European Union,SI3_AGG - MACHPH - Pharmaceuticals,World,336054,387903,410366,461034,535523,582899
European Union,SI3_AGG - MACHPH - Pharmaceuticals,European Union,152164,183209,183193,215707,257751,280236
European Union,SI3_AGG - MACHPH - Pharmaceuticals,Extra EU Trade,183891,204694,227173,245327,277771,302663
European Union,SI3_AGG - MAMT - Machinery and transport equipment,World,2142418,2322056,2264953,2070330,2386980,2418111
European Union,SI3_AGG - MAMT - Machinery and transport equipment,European Union,1189421,1308183,1283876,1197056,1396512,1415611
European Union,SI3_AGG - MAMT - Machinery and transport equipment,Extra EU Trade,949904,1013873,981077,873274,990468,1002500
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,World,343960,370354,363830,368996,417877,426877
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,European Union,232168,252864,246231,252634,293891,296850
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,Extra EU Trade,111792,117490,117599,116362,123986,130027
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,116376,130122,125944,131197,146935,142300
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,European Union,82157,92295,88851,94281,110411,104483
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,Extra EU Trade,34219,37827,37093,36915,36524,37817
European Union,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,165565,173308,168940,171032,188679,184357
