Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
Algeria,SI3_AGG - MAMTAU - Automotive products,World,0,7,6,6,19,2
Algeria,SI3_AGG - MATE - Textiles,World,1,3,7,19,11,8
Algeria,SI3_AGG - MACL - Clothing,World,0,0,0,4,3,1
American Samoa,SI3_AGG - TO - Total merchandise,World,397,377,353,399,317,366
Andean Community (ANDEAN),SI3_AGG - TO - Total merchandise,World,107319,120386,117019,97978,137664,164619
Andorra,SI3_AGG - TO - Total merchandise,World,118,129,,,,
Angola,SI3_AGG - TO - Total merchandise,World,34613,40758,35432,22135,34472,51275
Angola,SI3_AGG - AG - Agricultural products,World,239,288,135,136,93,119
Angola,SI3_AGG - AGFO - Food,World,147,143,115,117,92,118
Angola,SI3_AGG - MI - Fuels and mining products,World,33909,40109,34630,20825,32894,49646
Angola,SI3_AGG - MIFU - Fuels,World,32761,38905,33387,19688,31319,47576
Angola,SI3_AGG - MA - Manufactures,World,465,268,668,1173,1482,1504
Angola,SI3_AGG - MAIS - Iron and steel,World,28,21,19,13,23,36
Angola,SI3_AGG - MACH - Chemicals,World,19,17,13,10,6,15
Angola,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Angola,SI3_AGG - MAMT - Machinery and transport equipment,World,270,138,544,1073,1281,1272
Angola,SI3_AGG - MAMTOF - Office and telecom equipment,World,7,5,4,2,5,10
Angola,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2,2,1,1,2,1
Angola,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,4,3,2,1,3,8
Angola,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,1,0,0,0,0
Angola,SI3_AGG - MAMTTE - Transport equipment,World,35,16,388,971,1186,1127
Angola,SI3_AGG - MAMTAU - Automotive products,World,13,6,10,6,7,6
